time	sym	price	size
2019-06-14D02:15:15.940328000	e	3.416183	6
2019-06-14D02:15:15.940328000	m	29.94584	4
2019-06-14D02:15:15.940328000	m	2.440864	1
2019-06-14D02:15:15.940328000	h	45.03495	3
2019-06-14D02:15:15.940328000	o	42.52954	3
2019-06-14D02:15:15.940328000	h	40.98007	7
2019-06-14D02:15:15.940328000	k	4.991336	8
2019-06-14D02:15:15.940328000	a	40.93854	2
2019-06-14D02:15:15.940328000	j	32.53482	1
2019-06-14D02:15:15.940328000	b	1.746098	4
2019-06-14D02:15:15.940328000	l	1.64192	2
2019-06-14D02:15:15.940328000	d	48.37882	8
2019-06-14D02:15:15.940328000	d	15.0702	0
2019-06-14D02:15:15.940328000	h	34.59646	5
2019-06-14D02:15:15.940328000	c	47.35778	8
2019-06-14D02:15:15.940328000	o	17.01965	5
2019-06-14D02:15:15.940328000	o	48.07297	2
2019-06-14D02:15:15.940328000	c	13.49604	8
2019-06-14D02:15:15.940328000	p	47.28482	6
2019-06-14D02:15:15.940328000	m	25.63122	9
2019-06-14D02:15:15.940328000	b	27.29862	0
2019-06-14D02:15:15.940328000	l	43.24631	0
2019-06-14D02:15:15.940328000	h	15.57182	0
2019-06-14D02:15:15.940328000	d	40.66239	9
2019-06-14D02:15:15.940328000	b	6.459691	5
2019-06-14D02:15:15.940328000	e	7.387733	2
2019-06-14D02:15:15.940328000	a	13.71135	3
2019-06-14D02:15:15.940328000	m	28.17527	9
2019-06-14D02:15:15.940328000	n	44.19115	5
2019-06-14D02:15:15.940328000	g	12.19597	9
2019-06-14D02:15:15.940328000	e	33.59063	7
2019-06-14D02:15:15.940328000	g	43.19796	6
2019-06-14D02:15:15.940328000	h	42.19904	6
2019-06-14D02:15:15.940328000	m	27.13185	4
2019-06-14D02:15:15.940328000	k	3.878666	7
2019-06-14D02:15:15.940328000	m	31.87318	8
2019-06-14D02:15:15.940328000	g	48.80623	4
2019-06-14D02:15:15.940328000	l	26.98408	4
2019-06-14D02:15:15.940328000	d	35.81429	6
2019-06-14D02:15:15.940328000	m	19.43148	9
2019-06-14D02:15:15.940328000	i	26.1149	9
2019-06-14D02:15:15.940328000	e	43.62513	2
2019-06-14D02:15:15.940328000	i	32.84367	5
2019-06-14D02:15:15.940328000	a	48.12578	4
2019-06-14D02:15:15.940328000	o	18.57486	2
2019-06-14D02:15:15.940328000	b	8.723295	5
2019-06-14D02:15:15.940328000	p	29.48601	8
2019-06-14D02:15:15.940328000	a	47.75451	7
2019-06-14D02:15:15.940328000	f	30.79257	9
2019-06-14D02:15:15.940328000	p	35.12275	9
2019-06-14D02:15:15.940328000	l	17.7519	7
2019-06-14D02:15:15.940328000	b	18.07572	7
2019-06-14D02:15:15.940328000	c	45.44766	1
2019-06-14D02:15:15.940328000	m	10.31284	9
2019-06-14D02:15:15.940328000	k	24.09105	1
2019-06-14D02:15:15.940328000	c	10.32812	0
2019-06-14D02:15:15.940328000	a	26.14589	8
2019-06-14D02:15:15.940328000	d	16.69403	8
2019-06-14D02:15:15.940328000	n	20.73105	3
2019-06-14D02:15:15.940328000	l	48.62907	1
2019-06-14D02:15:15.940328000	i	27.11363	0
2019-06-14D02:15:15.940328000	b	30.58291	5
2019-06-14D02:15:15.940328000	g	17.07496	1
2019-06-14D02:15:15.940328000	d	47.58373	0
2019-06-14D02:15:15.940328000	d	5.847376	0
2019-06-14D02:15:15.940328000	i	40.79479	1
2019-06-14D02:15:15.940328000	m	30.4577	7
2019-06-14D02:15:15.940328000	o	49.15397	6
2019-06-14D02:15:15.940328000	l	37.71561	3
2019-06-18D03:05:46.717742000	GS.N	47.95588	8
2019-06-18D03:05:47.713266000	MSFT.O	0.4505872	1
2019-06-18D03:05:49.710650000	BA.N	28.97401	2
2019-06-18D03:05:52.703554000	BA.N	48.07297	3
2019-06-18D03:05:54.703077000	MSFT.O	12.19597	9
2019-06-18D03:05:55.702753000	BA.N	27.13185	1
2019-06-18D03:06:00.710928000	MSFT.O	49.15397	3
2019-06-18D03:06:02.703905000	MSFT.O	10.90437	0
2019-06-18D03:06:05.703418000	MSFT.O	26.40556	7
2019-06-18D03:06:08.702593000	BA.N	29.65088	1
2019-06-18D03:06:11.717559000	MSFT.O	22.05331	6
2019-06-18D03:06:13.717063000	IBM.N	23.99586	0
2019-06-18D03:06:15.716304000	MSFT.O	7.61333	3
2019-06-18D03:06:17.716138000	MSFT.O	2.082493	9
2019-06-18D03:06:21.715169000	BA.N	7.306473	7
2019-06-18D03:06:22.714998000	BA.N	0.9870703	4
2019-06-18D03:06:25.714256000	MSFT.O	31.49332	5
2019-06-18D03:06:26.713913000	IBM.N	27.10083	6
2019-06-18D03:06:28.713531000	IBM.N	46.81514	8
2019-06-18D03:06:29.713302000	MSFT.O	6.508518	7
2019-06-18D03:06:30.713024000	BA.N	37.45107	4
2019-06-18D03:06:34.712134000	BA.N	15.82718	4
2019-06-18D03:06:35.711867000	IBM.N	45.51846	7
2019-06-18D03:06:38.711220000	IBM.N	2.520004	8
2019-06-18D03:06:41.705966000	MSFT.O	22.9865	0
2019-06-18D03:06:45.705097000	MSFT.O	43.40338	7
2019-06-18D03:06:46.704875000	BA.N	12.02221	0
2019-06-18D03:06:48.704409000	IBM.N	15.23636	7
2019-06-18D03:06:50.703783000	BA.N	39.59896	9
2019-06-18D03:06:51.703673000	IBM.N	42.38193	9
2019-06-18D03:06:54.702846000	GS.N	44.17046	7
2019-06-18D03:06:56.702364000	IBM.N	47.40359	7
2019-06-18D03:06:58.717576000	IBM.N	11.81322	0
2019-06-18D03:06:59.717139000	MSFT.O	18.03648	9
2019-06-18D03:07:05.715980000	IBM.N	5.988106	8
2019-06-18D03:07:06.715748000	BA.N	41.31221	2
2019-06-18D03:07:08.715059000	GS.N	23.20387	8
2019-06-18D03:07:09.715051000	BA.N	2.192873	5
2019-06-18D03:07:10.714833000	MSFT.O	12.27739	1
2019-06-18D03:07:13.717571000	GS.N	40.67242	3
2019-06-18D03:07:14.709902000	IBM.N	22.5987	5
2019-06-18D03:07:18.716505000	MSFT.O	9.180919	4
2019-06-18D03:07:19.716104000	BA.N	31.40824	7
2019-06-18D03:07:20.715847000	GS.N	45.65717	9
2019-06-18D03:07:21.715742000	BA.N	37.69352	4
2019-06-18D03:07:22.715494000	BA.N	8.180249	7
2019-06-18D03:07:24.715013000	IBM.N	16.49079	9
2019-06-18D03:07:25.714779000	MSFT.O	49.8727	2
2019-06-18D03:07:29.713719000	MSFT.O	15.30365	3
2019-06-18D03:07:30.713292000	GS.N	21.64356	4
2019-06-18D03:07:31.713123000	MSFT.O	24.97957	9
2019-06-18D03:07:33.712581000	GS.N	15.32402	9
2019-06-18D03:07:34.712590000	GS.N	36.21206	8
2019-06-18D03:07:36.711752000	BA.N	28.83865	9
2019-06-18D03:07:39.711183000	MSFT.O	28.83055	9
